Turkish_names;English_names
Antep Fıstığı;Pistachio
Armut;Pear
Ay Çekirdeği;Sun flower seed
Ayçiçek Yağı;Sun-flower oil
Ayran;Ayran
Ayva;Quince
Badem;Almond
Baharat;Condiment-spices
Baklava;Baklava
Bal;Honey
Balık;Fresh fish
Bebek Sütü;Formula milk
Beyaz Lahana;Cabbage
Beyaz Peynir;White cheese
Bira;Beer
Bisküvi;Biscuit
Bitki ve Meyve Çayı (Poşet);Herbal tea
Buğday Unu;Wheat flour
Bulgur;Bulgur wheat
Ceviz;Walnut
Cips;Chips
Çarliston Biber;Sweet green pepper
Çay;Tea
Çikolata Krem;Chocolate cream
Çikolata Tablet;Tablet of chocolate
Çilek;Strawberry
Dana Eti;Beef
Dereotu;Dill
Biber;Pepper
Domates;Tomato
Dondurma;Ice-cream
Ekmek;Bread
Elma;Apple
Fındık Ezmesi;Hazelnut butter
Fındık;Hazelnut
Gazoz;Fizzy soft drinks
Gofret;Wafer
Havuç;Carrot
Hazır Çorba;Instant soup
Hazır Et Yemekleri;Ready to eat meat dishes
Hazır Kahve;Instant coffee
Hazır Pakette Toz Tatlılar (Puding);Pudding
Hazır Sütlü Tatlılar;Milk desserts
Ispanak;Spinach
Kabak;Zucchini
Kabak Çekirdeği;Pumpkin seed
Kabartma Maddeleri;Baking powder
Kağıtlı Şeker;Holiday candy
Kahve;Turkish coffee
Kakao;Cocoa
Karnabahar;Cauliflower
Karpuz;Water melon
Kaşar Peyniri;Kashar cheese
Kavun;Melon
Kek;Cake
Kesme Şeker;Cube sugar
Ketçap;Ketchup
Kırmızı Lahana;Red cabbage
Kırmızı Turp;Radish
Kıvırcık;Curly lettuce
Kivi;Kiwi
Kola;Coke
Konserve Balık;Canned fish
Konserveler;Canned  vegetables
Kraker;Cracker
Krem Peynir;Cream cheese
Kuru Fasulye;Dry bean
Kuru Kayısı;Dried apricot
Kuru Soğan;Onion
Kuru Üzüm;Raisin
Kuzu Eti;Lamb
Leblebi;Roasted chick-pea
Limon;Lemon
Lokum;Turkish delight
Maden Suyu ve Sodası;Sparkling mineral water
Makarna;Pasta
Mandalina;Tangarine
Mantar;Mushroom
Margarin;Margarine
Maydanoz;Parsley
Mayonez;Mayonnaise
Mercimek;Lentils
Meyve Suyu;Fruit juice
Muz;Banana
Nane;Spearmint
Nar;Pomegranate
Nohut;Chickpea
Pasta;Cream-cake and patisserie
Patates;Potato
Patlıcan;Eggplant
Pekmez;Grape molasses
Pırasa;Leek
Pirinç;Rice
Portakal;Orange
Rakı;Raki
Reçel;Jam
Roka;Rocket
Sakatat;Offal
Sakız;Chewing gum
Salam;Salami
Salatalık;Cucumber
Salça;Tomato sauce
Sarımsak;Garlic
Sirk;Vinegar
Sivri Biber;Green pepper
Soğuk Çay;Ice tea
Sosis;Sausage
Su;Water
Sucuk;Soujouk
Süt;Milk
Şarap;Wine
Şeftali;Peach
Şehriye;Orzo pasta
Tahin;Sesame oil
Tahin Helvası;Halvah
Tahıl Gevreği;Cereal
Tavuk Eti;Poultry
Taze Fasulye;Green bean
Tereyağı;Butter
Toz Şeker;Granulated sugar
Tulum Peyniri;Tulum cheese
Turşu;Pickle
Tuz;Salt
Üzüm;Grape
Viski;Whisky
Votka;Vodka
Yer Fıstığı;Peanuts
Yoğurt;Yoghurt
Yumurta;Egg
Zeytin;Olive
Zeytinyağı;Olive oil
