Turkish_names;English_names
Pirinç;Rice
Buğday Unu;Wheat flour
Bebek Sütü;Formula milk
Bulgur;Bulgur wheat
Ekmek;Bread
Bisküvi;Biscuit
Kraker;Cracker
Gofret;Wafer
Pasta;Cream-cake and patisserie
Kek;Cake
Baklava;Baklava
Ekmek Hamuru (Yufka);Pastry leaves
Makarna;Pasta
Şehriye;Orzo pasta
Tahıl Gevreği;Cereal
Dana Eti;Beef
Kuzu Eti;Lamb
Tavuk Eti;Poultry
Sakatat;Offal
Sucuk;Soujouk
Sosis;Sausage
Salam;Salami
Hazır Et Yemekleri;Ready to eat meat dishes
Balık;Fresh fish
Konserve Balık;Canned fish
Süt;Milk
Yoğurt;Yoghurt
Hazır Sütlü Tatlılar;Milk desserts
Beyaz Peynir;White cheese
Kaşar Peyniri;Kashar cheese
Tulum Peyniri;Tulum cheese
Krem Peynir;Cream cheese
Yumurta;Egg
Tereyağı (Kahvaltılık);Butter
Margarin;Margarine
Zeytinyağı;Olive oil
Ayçiçek Yağı;Sun-flower oil
Portakal;Orange
Üzüm;Grape
Armut;Pear
Ayva;Quince
Çilek;Strawberry
Elma;Apple
Karpuz;Water melon
Kavun;Melon
Kivi;Kiwi
Limon;Lemon
Mandalina;Tangarine
Muz;Banana
Nar;Pomegranate
Şeftali;Peach
Badem İçi;Almond
Ceviz İçi;Walnut (without shells)
Fındık İçi;Hazelnut (without shells)
Antep Fıstığı;Pistachio
Yer Fıstığı;Peanuts
Leblebi;Roasted chick-pea
Ay Çekirdeği;Sun flower seed
Kabak Çekirdeği;Pumpkin seed
Kuru Üzüm;Raisin
Kuru Kayısı;Dried apricot
Çarliston Biber;Sweet green pepper
Dolmalık Biber;Stuff pepper
Sivri Biber;Green pepper
Dereotu;Dill
Domates;Tomato
Taze Fasulye;Green bean
Havuç;Carrot
Ispanak;Spinach
Kabak;Zucchini
Karnabahar;Cauliflower
Kuru Soğan;Onion
Beyaz Lahana;Cabbage
Kırmızı Lahana;Red cabbage
Mantar;Mushroom
Kıvırcık;Curly lettuce
Maydanoz;Parsley
Nane;Spearmint
Patlıcan;Eggplant
Pırasa;Leek
Roka;Rocket
Salatalık;Cucumber
Sarımsak;Garlic
Kırmızı Turp;Radish
Patates;Potato
Kuru Fasulye;Dry bean
Nohut;Chickpea
Mercimek;Lentils
Konserveler;Canned  vegetables
Turşu;Pickle
Salça;Tomato sauce
Zeytin;Olive
Cips;Chips
Toz Şeker;Granulated sugar
Kesme Şeker;Cube sugar
Reçel;Jam
Bal;Honey
Pekmez;Grape molasses
Tahin Helvası;Halvah
Fındık Ezmesi;Hazelnut butter
Çikolata Tablet;Tablet of chocolate
Çikolata Krem;Chocolate cream
Lokum;Turkish delight
Sakız;Chewing gum
Kağıtlı Şeker;Holiday candy
Dondurma;Ice-cream
Baharat;Condiment-spices
Tuz;Salt
Kabartma Maddeleri;Baking powder
Sirke;Vinegar
Ketçap;Ketchup
Mayonez;Mayonnaise
Tahin;Sesame oil
Hazır Çorbalar;Instant soups
Hazır Pakette Toz Tatlılar (Puding);Pudding
Kahve;Turkish coffee
Hazır Kahve;Instant coffee
Çay;Tea
Bitki ve Meyve Çayı (Poşet);Herbal tea
Kakao;Cocoa
Su;Water
Maden Suyu ve Sodası;Sparkling mineral water
Gazoz;Fizzy soft drinks
Kola;Coke
Soğuk Çay;Ice tea
Ayran ;Ayran
Meyve Suyu;Fruit juice
Rakı;Raki
Votka;Vodka
Viski;Whisky
Şarap;Wine
Bira;Beer
